clean_text,sentiment
ahhh hope,negative
cool tweet apps razr,negative
know family drama lame.hey next time hang kim guys like sleepover whatever ill call,negative
school email open geography stuff revise stupid school,negative
upper airways problem,negative
going miss pastor sermon faith ...,negative
lunch .... come eat,positive
feeling like,negative
gahh noo peyton needs live horrible,negative
thank glad like product review bit site enjoy knitting,positive
zach makes pee sitting grown gay man,positive
sum day one word ......... kackered,positive
great minds think alike,positive
poorly bed,negative
really great small blizzard also cold wind blows ...,positive
lol calm got 30day loan offer,positive
feeling quite sleepy today wish could stay bed today ... last year let school,positive
yeah mathieu totally choked 3rd set let rog win well djokovic played terribly,negative
ugh morning rough start,negative
bit tongue,negative
apparently dont time fans,negative
whaddup whaddup whaddup whaddup whaddup got white girl swag head shoes whaddup,positive
willing pay thus covering cost set one got counter offer listen,positive
working photos hillsong year celebration stay tuned,positive
baby chicken pox soo bad face afraid might scars,negative
feel good,negative
want see pictures minister boobie flahses,positive
day pass slowly days rawr ...,negative
car poorly,negative
turning one week feel excited really know seen friends got excited part,positive
woooooork tomorrrow amp tuesday,positive
flatmates still bathroom arggh,negative
allergic reaction silver earings,negative
admit ... maybe feel better tomorrow studio time,negative
going back sleep great idea unfortunately already work notebook less,negative
msn making click wrong people garrrrr,negative
full fizz enough cider,negative
get back worked,positive
time sleep ... long day tomorrow,negative
hahaha blakk reckkkin thro,positive
cubs game today first ever,positive
sounds like feeling bit better ... great great day,positive
lol leave kid internet kid stupid things,positive
eating cha eric,positive
good note meet marty richards red ball years ago sweet never forget,positive
hands officially tied think time anything anymore includes california meet,negative
said quot scar quot sweetie,positive
supposed live happened end would cool bbc ...,negative
fck brï ½ndby,positive
jealous yet find local chinese satisfied,negative
local yocals around happy find twitter 2day,positive
back supercheap successful trip bikes tanked amp checked week ready start relaxing,positive
want shoot ... charlotte,negative
good work,positive
welcome new week ... maybe even tomorrow,positive
hate bein phone long,negative
anyone wanted attend tedmed make date happily take place live blog,positive
means gocats,positive
beach morning bbq afternoon back school work 2morro,negative
old really,positive
siteowner custom search box fail ... quot market quot quot quot nothing still targets search quot australia quot,negative
watched crank .... awesome,positive
,positive
night rock star ...,positive
really reason haha sounds stupid,positive
first night myers lydia actually excited summer,positive
tooth sving see dentist week,negative
cant sleep got heartburn really bad,negative
whipsnade hope dry,positive
going bed ... ankle hurts,negative
hates fact scanned wrong passage commentaries going use essay,negative
shame name female lol alright shower sleep get like hours,negative
fine kinders coughing lot sleep weather good though main thing,positive
listening nutcracker says christmas thing,positive
miss cant wait see happy,positive
missing missing tuesday nights,negative
mourniiiiiiing morniiing,positive
glad blog helped,positive
awesome pumpkin famous,positive
sadly never seen single episode know fired right,negative
haha o.o hows long time reply,positive
good luck paula please work hard hope fun new album gon amazing xxx,negative
seattle pride june 28th 11am come support community march marriage equality contingent,positive
seriosuly second one quot since already mid class dude would work food quot,positive
school ... listining die rzte westerland ... great song really btw tired ... sleeped thats bad,negative
